id,species,split_spp,url,url_2,url_3,shapefile_path,raster_path,majority_cat,single_cat,processing_cat,countries_raw,countries_occ,outside_range,post_2008 ,pre_2008 ,zero_gbif_records,previous_sp_name,alternate_sp_name,new_sp_name,notes
1,Acanthophis_antarcticus,Acanthophis_antarcticus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_antarcticus.pdf,,,data/raw/eor/Acanthophis_antarcticus.shp,output/species_rasters/combined_cat/Acanthophis_antarcticus.tif,2,1,2,AUS,"AUS, IDN, PNG",1,few,excessive_historic,0,,,,
2,Acanthophis_laevis,Acanthophis_laevis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_laevis.pdf,,,data/raw/eor/Acanthophis_laevis.shp,output/species_rasters/combined_cat/Acanthophis_laevis.tif,1,1,1,"IDN, PNG","PNG, IDN, AUS",1,few,few_historic,0,Acanthophis_antarcticus_laevis,,,
3,Acanthophis_rugosus,Acanthophis_rugosus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_rugosus.pdf,,,data/raw/eor/Acanthophis_rugosus.shp,output/species_rasters/combined_cat/Acanthophis_rugosus.tif,2,1,2,"IDN, PNG","AUS, IDN",1,0,few_historic,0,Acanthophis_antarcticus_rugosus,,,
4,Acanthophis_spp,Acanthophis_praelongus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_spp.pdf,,,data/raw/eor/Acanthophis_praelongus.shp,output/species_rasters/combined_cat/Acanthophis_praelongus.tif,2,1,2,AUS,"AUS, PNG, IDN",1,0,few_historic,0,,,,
4,Acanthophis_spp,Acanthophis_pyrrhus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_spp.pdf,,,data/raw/eor/Acanthophis_pyrrhus.shp,output/species_rasters/combined_cat/Acanthophis_pyrrhus.tif,2,1,2,AUS,AUS,1,0,few_historic,0,,,,
4,Acanthophis_spp,Acanthophis_wellsi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_spp.pdf,,,data/raw/eor/Acanthophis_wellsi.shp,output/species_rasters/combined_cat/Acanthophis_wellsi.tif,2,1,2,AUS,AUS,1,0,few_historic,0,,Acanthophis_wellsei,,
4,Acanthophis_spp,Acanthophis_spp,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Acanthophis_spp.pdf,,,data/raw/eor/Acanthophis_spp.shp,output/species_rasters/combined_cat/Acanthophis_spp.tif,2,1,2,AUS,,0,0,0,1,,,,
5,Agkistrodon_bilineatus,Agkistrodon_bilineatus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Agkistrodon_bilineatus.pdf,,,data/raw/eor/Agkistrodon_bilineatus.shp,output/species_rasters/combined_cat/Agkistrodon_bilineatus.tif,2,0,1&2,"SLV, HND, MEX, GTM, BLZ, NIC, CRI","MEX, HND, CRI, SLV",1,few,few_historic,0,,,,
6,Agkistrodon_contortrix,Agkistrodon_contortrix,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Agkistrodon_contortrix.pdf,,,data/raw/eor/Agkistrodon_contortrix.shp,output/species_rasters/combined_cat/Agkistrodon_contortrix.tif,1,0,1&2,"USA, MEX","USA, MEX",1,few,few_historic,0,,,,
7,Agkistrodon_piscivorus,Agkistrodon_piscivorus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Agkistrodon_piscivorus.pdf,,,data/raw/eor/Agkistrodon_piscivorus.shp,output/species_rasters/combined_cat/Agkistrodon_piscivorus.tif,1,1,1,USA,"USA, MEX",1,few,few_historic,0,,,,
